readable,hscore,review
very professional mic. easy use comes with everything needed.,8,very professional mic. easy use comes with everything needed.
"this is the first valved diatonic harmonica i've purchased. it's solid and well-made like the conventional promaster harmonicas. the valves make blow bends a bit easier, but don't seem to have much effect on draw bends. the valves on the lower notes also tend to buzz while playing. apparently this is a typical problem with all valved harps. for my playing habits i'll probably stick with the non-valved harps from now on.",4.5,"this is the first valved diatonic harmonica i've purchased. it's solid and well-made like the conventional promaster harmonicas. the valves make blow bends a bit easier, but don't seem to have much effect on draw bends. the valves on the lower notes also tend to buzz while playing. apparently this is a typical problem with all valved harps. for my playing habits i'll probably stick with the non-valved harps from now on."
"i still got 2 of them left to install; however, sensor for remote control wasn't properly working. i had to get very close to it like within 2 feet.  i felt quite disappointed by it. it happened for the first time out of several order i had with amazon. i hope this doesn't happened to the other 2 i haven't used.",5,"i still got 2 of them left to install; however, sensor for remote control wasn't properly working. i had to get very close to it like within 2 feet.  i felt quite disappointed by it. it happened for the first time out of several order i had with amazon. i hope this doesn't happened to the other 2 i haven't used."
"i'm a musician and i was looking for a better gig bag to better organize chords, communications gear, tools & accessories.  this bag is perfect.  with my last gig bag i just threw everything in the bag making it difficult find things the next time.  now everything fits, everything has space and i can find what i need quickly.  i can tell at a glance if something is missing.  like i said, it's perfect.",7.5,"i’m a musician and i was looking for a better gig bag to better organize chords, communications gear, tools & accessories.  this bag is perfect.  with my last gig bag i just threw everything in the bag making it difficult find things the next time.  now everything fits, everything has space and i can find what i need quickly.  i can tell at a glance if something is missing.  like i said, it’s perfect."
"great stand for the price.  i have no issues with it, and will order a few more.",6,"great stand for the price.  i have no issues with it, and will order a few more."
love love love this uke!!!! its my first ukulele i got and it's so easy to play! it's not too small or too large! i love it!,9,love love love this uke!!!! its my first ukulele i got and it's so easy to play! it's not too small or too large! i love it!
"i dont have a fender guitar nor do i have a soilder gun. i placed these pickups in my cheap bass guitar, i  twisted and taped wires very tightly and boooooom, the sounds are out of this world.  what a great piece of equipment. now my bass guitar can really be heard over the drums my uncle plays, these baby really cut through the band. try them, and you will love them. a 5 star rating isn't enough for this product",10,"i dont have a fender guitar nor do i have a soilder gun. i placed these pickups in my cheap bass guitar, i  twisted and taped wires very tightly and boooooom, the sounds are out of this world.  what a great piece of equipment. now my bass guitar can really be heard over the drums my uncle plays, these baby really cut through the band. try them, and you will love them. a 5 star rating isn't enough for this product"
just got this tube today (i'll re-post down the road to talk about durability). so far i'm amazed with the improvement over the stock tube that came with the audio bravo v2. i've put plenty of time burning in the stock tube with still muddled details and an over-brightness in sound signature. plugged this guy in and let it warm up for a  couple hours. i'm instantly pleased with this purchased.,7.5,just got this tube today (i'll re-post down the road to talk about durability). so far i'm amazed with the improvement over the stock tube that came with the audio bravo v2. i've put plenty of time burning in the stock tube with still muddled details and an over-brightness in sound signature. plugged this guy in and let it warm up for a  couple hours. i'm instantly pleased with this purchased.
perfect fit and for the price cant be beat!,8,perfect fit and for the price cant be beat!
can not say enough nice things about this karaoke microphone. after using this product i feel confident i picked the right microphone.  i tried it right away and finished up singing for 4 hours!i have been using it nonstop for the last couple days.  i love it! the sound is good. and it looks great.,9,can not say enough nice things about this karaoke microphone. after using this product i feel confident i picked the right microphone.  i tried it right away and finished up singing for 4 hours!i have been using it nonstop for the last couple days.  i love it! the sound is good. and it looks great.
"the color is more attractive than it looks on the internet and the flying saucer shape is just ok. the sound is fine with two options, one that sort of sounds like the old woodblock sound of a clockwork mechanism and a higher pitched one. my main complaint is that it so unergonomic compared to a traditional metronome which had just a simple sliding weight on a pendulum. all the controls are on the bottom molded in black plastic. the settings that are not just molded into the plastic are in dark orange. impossible to change a setting unless you pick it up and carry it to within a foot or two of a bright lamp. no design attention there at all. probably would not buy it again because of that.",6.5,"the color is more attractive than it looks on the internet and the flying saucer shape is just ok. the sound is fine with two options, one that sort of sounds like the old woodblock sound of a clockwork mechanism and a higher pitched one. my main complaint is that it so unergonomic compared to a traditional metronome which had just a simple sliding weight on a pendulum. all the controls are on the bottom molded in black plastic. the settings that are not just molded into the plastic are in dark orange. impossible to change a setting unless you pick it up and carry it to within a foot or two of a bright lamp. no design attention there at all. probably would not buy it again because of that."
overall rating (8/10). to be fair you get what you pay. it's a good product and does what you need but it's also kinda cheeply made. if you need a cheep so so product i recommend this !,7,"overall rating (8/10)
to be fair you get what you pay. it’s a good product and does what you need but it’s also kinda cheeply made. if you need a cheep so so product i recommend this !"
"good concept, good mic, not so good speaker, when i plug in a boss speaker to the aux out, i get a much clearer sound.",5.5,"good concept, good mic, not so good speaker, when i plug in a boss speaker to the aux out, i get a much clearer sound."
"the packaging on this is just amazing! i love the humor! it had everything that is listed, no complaints!",7.5,"the packaging on this is just amazing! i love the humor! it had everything that is listed, no complaints!"
"i have many guitars, fenders, gibsons.  this is one sweet guitar.  just arrived today.  these are not the same pickups as the other anniversary.  they are to original specs, chimey, great clean spank in all positions.  i'm sure pedals and gain will work very well.  thats all i have to say now.  the neck and finish, nitro, great tone.  worth price?  probably.",7.5,"i have many guitars, fenders, gibsons.  this is one sweet guitar.  just arrived today.  these are not the same pickups as the other anniversary.  they are to original specs, chimey, great clean spank in all positions.  i'm sure pedals and gain will work very well.  thats all i have to say now.  the neck and finish, nitro, great tone.  worth price?  probably."
a welcome element to the guitar toolbox,8,a welcome element to the guitar toolbox
purchased to organize a number of large guitar modeling pedal boards to keep them stacked and organized for studio use. the packaging looked like it had been kicked and dragged through the mud - the contents were intact and ready for medium-duty use.,6,purchased to organize a number of large guitar modeling pedal boards to keep them stacked and organized for studio use. the packaging looked like it had been kicked and dragged through the mud - the contents were intact and ready for medium-duty use.
as described. it is pretty basic and it has been solid over the past few month i have had it.,6,as described. it is pretty basic and it has been solid over the past few month i have had it.
great little gift for that budding musician ;-),9,great little gift for that budding musician ;-)
perfect for my use.  good quality.,7.5,perfect for my use.  good quality.
"i've never had leather picks before but, with my ukulele i find that i have more control and a better sound.",8.5,"i've never had leather picks before but, with my ukulele i find that i have more control and a better sound."
"thesee are great, stable, reliable tuners that fit any import guitar. you may have to make new screw holes, but they are worth it. classic looks with reliable tuning. they're winners!",6,"thesee are great, stable, reliable tuners that fit any import guitar. you may have to make new screw holes, but they are worth it. classic looks with reliable tuning. they're winners!"
the quality of the string used seems slightly lower grade and i'm worried about weathering. but the design and finish is otherwise cute. the quality of the chime sound is decent—though i've heard better. a note of clarity: the für elise feature is just silkscreened musical bars/notation on one side of the white row of chimes. the chime isn't actually tuned to sound like beethoven's für elise.,5.5,the quality of the string used seems slightly lower grade and i'm worried about weathering. but the design and finish is otherwise cute. the quality of the chime sound is decent—though i've heard better. a note of clarity: the f&uuml;r elise feature is just silkscreened musical bars/notation on one side of the white row of chimes. the chime isn't actually tuned to sound like beethoven's f&uuml;r elise.
this is a perfect ukulele for a good price!  the case is made with very good quality.  the tuner is really accurate and has a great digital display.  the uke itself is gorgeous and sounds incredible.  definitely worth the price.,8,this is a perfect ukulele for a good price!  the case is made with very good quality.  the tuner is really accurate and has a great digital display.  the uke itself is gorgeous and sounds incredible.  definitely worth the price.
"we received ours from a friend, so i cannot really complain about ""free"".  however it has been in the shop at least twice a year for the last 3 years at about $60-$70 at a time.  it now has ""leaks"".  this instrument was only used for about 3 years when we received it.  it is definitely for a ""beginner"" student, but will not hold up to any type of wear and tear/abuse that is expected from a pre-teen.  i would suggest spending a little more money on the front end to save you a lot more money down the road.  i would suggest yamaha or buffet as being the best investment for long term student use.",5.5,"we received ours from a friend, so i cannot really complain about &#34;free&#34;.  however it has been in the shop at least twice a year for the last 3 years at about $60-$70 at a time.  it now has &#34;leaks&#34;.  this instrument was only used for about 3 years when we received it.  it is definitely for a &#34;beginner&#34; student, but will not hold up to any type of wear and tear/abuse that is expected from a pre-teen.  i would suggest spending a little more money on the front end to save you a lot more money down the road.  i would suggest yamaha or buffet as being the best investment for long term student use."
"beautiful, clear sound.  lovely looking product",9,"beautiful, clear sound.  lovely looking product"
"i saw someone using one of these at a show a few weeks backs and loved the look and sound of it. i decided to buy one.. i like it very much. it is even lighter than my hofner bass. i use it to practice around the house and will eventually incorporate it into a few songs at gigs.. . it has very close frets, obviously from the size, but not difficult to get used to. it is not something i would recommend for songs requiring slides as the strings tend to stick to your fingers but for positional play does well. the pickup is very sensitive and has a very deep tone almost that of an upright bass. i love the built in tuner and you will need to use it often as the strings stretch often.. . plucking should be kept very light or there will be some fret rattle. all in all though it is a very cute and novel instrument. i am not disappointed with it.",8.5,"i saw someone using one of these at a show a few weeks backs and loved the look and sound of it. i decided to buy one.
i like it very much. it is even lighter than my hofner bass. i use it to practice around the house and will eventually incorporate it into a few songs at gigs.

it has very close frets, obviously from the size, but not difficult to get used to. it is not something i would recommend for songs requiring slides as the strings tend to stick to your fingers but for positional play does well. the pickup is very sensitive and has a very deep tone almost that of an upright bass. i love the built in tuner and you will need to use it often as the strings stretch often.

plucking should be kept very light or there will be some fret rattle. all in all though it is a very cute and novel instrument. i am not disappointed with it."
"i ordered this because i needed a new slipmat and i noticed no reviews for this one so this purchase was a gamble but i was satisfied enough that it will not be returned. you should keep these two things in mind, however, before purchasing.. 1.the slipmat is very thin, about half the thickness of what came with my turntable. i read this in other reviews so i was not completely surprised to find this out.. 2. the image is low quality. i can't blame the seller, however, because the image shown is exactly what you get. a lot of the shapes blend into each other and i feel that getting a higher quality image would not be that difficult but like i said, the page was not misleading so i'm not upset. it looks good enough from a distance",6.5,"i ordered this because i needed a new slipmat and i noticed no reviews for this one so this purchase was a gamble but i was satisfied enough that it will not be returned. you should keep these two things in mind, however, before purchasing.
1.the slipmat is very thin, about half the thickness of what came with my turntable. i read this in other reviews so i was not completely surprised to find this out.
2. the image is low quality. i can't blame the seller, however, because the image shown is exactly what you get. a lot of the shapes blend into each other and i feel that getting a higher quality image would not be that difficult but like i said, the page was not misleading so i'm not upset. it looks good enough from a distance"
i was pleasantly surprised by this shofar.  it is quite large and doesn't look like plastic.  it doesn't have the odor problem of real ones and was just what we needed.,7,i was pleasantly surprised by this shofar.  it is quite large and doesn't look like plastic.  it doesn't have the odor problem of real ones and was just what we needed.
i bought this dual switch for the body and cable. i swapped out the switches for momentary switches and shortened the cable to 6 feet so i could use it with my alesis drum machine. all in i've got a package that cost me less that $40 which includes a hosa 1/4 inch stereo trs female to 2 x 1/4 tr male adapter cable.. . nice and tidy setup now ;),7,"i bought this dual switch for the body and cable. i swapped out the switches for momentary switches and shortened the cable to 6 feet so i could use it with my alesis drum machine. all in i've got a package that cost me less that $40 which includes a hosa 1/4 inch stereo trs female to 2 x 1/4 tr male adapter cable.

nice and tidy setup now ;)"
"not much to say here. it looks good and the chrome plating looks like its of good quality, and it does what it is supposed to do.",5.5,"not much to say here. it looks good and the chrome plating looks like its of good quality, and it does what it is supposed to do."
a very interesting and useful effect that really shines on higher gain amp settings adding a cool twist to your guitar leads.  it's versatile too with higher speed settings it adds a nice effect to cleaner rhythm sounds too.  very nice price as well!,7.5,a very interesting and useful effect that really shines on higher gain amp settings adding a cool twist to your guitar leads.  it’s versatile too with higher speed settings it adds a nice effect to cleaner rhythm sounds too.  very nice price as well!
"work great for setting pedals up next to eachother. i read up on their advanced soldering process  (with a silver solder blend and high heat soldering to make the joints stronger) and that was what made me decide to try these out. i noticed a lot more clarity when switching to these from monster cables on my board. just be gentle with the connections. although none of mine have broken or become loose (connections are very solid), using the 4 inch cables puts more strain on the ends than i would prefer. i'd recommend going with at least the 5 or 6 inch option from world's best cables. using the 4 inch cables also made me have to put a couple of my pedals in funky positions. i will probably end up ordering a few 6 inches to clean things up. still a fantastic option for the price compared to other mogami cables. unless they start falling apart, i would buy them again. i ordered 3 different types and all the cables were shipped in perfect working condition.",7,"work great for setting pedals up next to eachother. i read up on their advanced soldering process  (with a silver solder blend and high heat soldering to make the joints stronger) and that was what made me decide to try these out. i noticed a lot more clarity when switching to these from monster cables on my board. just be gentle with the connections. although none of mine have broken or become loose (connections are very solid), using the 4 inch cables puts more strain on the ends than i would prefer. i'd recommend going with at least the 5 or 6 inch option from world's best cables. using the 4 inch cables also made me have to put a couple of my pedals in funky positions. i will probably end up ordering a few 6 inches to clean things up. still a fantastic option for the price compared to other mogami cables. unless they start falling apart, i would buy them again. i ordered 3 different types and all the cables were shipped in perfect working condition."
"i bought 3 of these as gifts for a non-profit preschool, one for each classroom.  they are helpful as transitional elements, to help move from one activity to the next.  the quality of these is not great, as they are constructed in such a way that the cord that ties the chimes to the handheld wood does not allow the chime free movement. as a result, when the metal chime struck by the mallet,  the sound is only brief and doesn't produce a resonating ring as it should.  this is disappointing.  i can only compare this product  to the superb quality of the nino hand-held chimes which i am unable to locate anywhere online these days.  i bought the nino chimes ~ 10 years ago and they are as solid as the day i first used them.",8.5,"i bought 3 of these as gifts for a non-profit preschool, one for each classroom.  they are helpful as transitional elements, to help move from one activity to the next.  the quality of these is not great, as they are constructed in such a way that the cord that ties the chimes to the handheld wood does not allow the chime free movement. as a result, when the metal chime struck by the mallet,  the sound is only brief and doesn't produce a resonating ring as it should.  this is disappointing.  i can only compare this product  to the superb quality of the nino hand-held chimes which i am unable to locate anywhere online these days.  i bought the nino chimes ~ 10 years ago and they are as solid as the day i first used them."
"beautiful bowl. beautiful sound. use for meditation. calming, deep, lovely sound.",8.5,"beautiful bowl. beautiful sound. use for meditation. calming, deep, lovely sound."
i got this for my brother and he really liked it. it was really nice however the mallet was cheaply made and wasn't nice and smooth so he had to get another one. keep in mind that you might end up wanting to get a better quality mallet,6.5,i got this for my brother and he really liked it. it was really nice however the mallet was cheaply made and wasn’t nice and smooth so he had to get another one. keep in mind that you might end up wanting to get a better quality mallet
"my axe fx iii rests on a projector stand that looks similar to a music stand. this case is solid and provides substantial protection. my only gripe is that the grille doesn't quite sit flush when it's on, but i don't really care because it's never going to be on.",7,"my axe fx iii rests on a projector stand that looks similar to a music stand. this case is solid and provides substantial protection. my only gripe is that the grille doesn’t quite sit flush when it’s on, but i don’t really care because it’s never going to be on."
"seriously, awesome ""toy"" for our 3 year old who is obsessed with drumming. unfortunately we live in an apartment, so a real drum set is out of the question for now. the 50 sets of sounds is awesome, my son is learning great hand-eye coordination, the volume control and ability to use headphones is also so great. we haven't used any of the other functionality yet, but as he grows older we will most likely explore it more. my husband also has fun playing this. definitely recommend, much more durable and quality sounding than drum sets meant for kids.",8,"seriously, awesome &#34;toy&#34; for our 3 year old who is obsessed with drumming. unfortunately we live in an apartment, so a real drum set is out of the question for now. the 50 sets of sounds is awesome, my son is learning great hand-eye coordination, the volume control and ability to use headphones is also so great. we haven't used any of the other functionality yet, but as he grows older we will most likely explore it more. my husband also has fun playing this. definitely recommend, much more durable and quality sounding than drum sets meant for kids."
"sounds great options good.  however software and connectivity options makes it too difficult and expensive  to use in a live format.  phone app makes it too noisy with cable connection.  compared to eventide, tc electronics, line 6 or others it not worth the expensive price for the editing options.  the neuro hub and midi foot switch is needed to switch grouped pedal presets.  this can't be done with usb cables and app.  the app must be connected to the internet to switch and save presets on individual pedals.  when you pay extra for the hub the app becomes slower with more steps.  the hub doesn't communicate with the usb connections of each pedal just the trrs cables.  makes for too many cables and extra products to buy in order to enjoy.  the hub is limited to 5 pedals then you have to buy more products.  too many gimmicks and not enough time spent on ease of use.  sad for such a good sounding product.  not worth the price until they rework the app and connectivity issues.",5,"sounds great options good.  however software and connectivity options makes it too difficult and expensive  to use in a live format.  phone app makes it too noisy with cable connection.  compared to eventide, tc electronics, line 6 or others it not worth the expensive price for the editing options.  the neuro hub and midi foot switch is needed to switch grouped pedal presets.  this can’t be done with usb cables and app.  the app must be connected to the internet to switch and save presets on individual pedals.  when you pay extra for the hub the app becomes slower with more steps.  the hub doesn’t communicate with the usb connections of each pedal just the trrs cables.  makes for too many cables and extra products to buy in order to enjoy.  the hub is limited to 5 pedals then you have to buy more products.  too many gimmicks and not enough time spent on ease of use.  sad for such a good sounding product.  not worth the price until they rework the app and connectivity issues."
best gift ever for a zelda loving friend!,8,best gift ever for a zelda loving friend!
"i've used the original stylophone for decades and it is a one trick device but the x-1 is a surprise. it is a quite useable analog mono synth with the ability to inspire new ideas and noodle around for hours. it has the expected keyboard and stylus along with a surprisingly playable sound strip. the beauty is in the simplicity - just enough synth to explore new ideas but not much distraction from making music. it sounds suitably naff though the internal speaker but quite decent via the 3.5mm jack. it's very light and easy to take with you but packs a lot of fun for anybody wanting to make music in a light hearted way. it is full of foibles, glitches and oddness along with some very decent sounds. i have had many musicians and composers pick it up, start fiddling and be lost in enjoyment for several hours. if you want to recreate the original stylophone sound it can be done but there is a really big audio landscape to fool around in and try out ideas.. i would say it is a very useful way to relax creatively. for the money it brings a lot of smiles!",8,"i’ve used the original stylophone for decades and it is a one trick device but the x-1 is a surprise. it is a quite useable analog mono synth with the ability to inspire new ideas and noodle around for hours. it has the expected keyboard and stylus along with a surprisingly playable sound strip. the beauty is in the simplicity - just enough synth to explore new ideas but not much distraction from making music. it sounds suitably naff though the internal speaker but quite decent via the 3.5mm jack. it’s very light and easy to take with you but packs a lot of fun for anybody wanting to make music in a light hearted way. it is full of foibles, glitches and oddness along with some very decent sounds. i have had many musicians and composers pick it up, start fiddling and be lost in enjoyment for several hours. if you want to recreate the original stylophone sound it can be done but there is a really big audio landscape to fool around in and try out ideas.
i would say it is a very useful way to relax creatively. for the money it brings a lot of smiles!"
"the build quality of the case is excellent, and i will be keeping it and adjusting my plans to make it work for my purpose (amateur radio hf go-box) but i had assumed the depth measurement was rail-to-rail, and it is not. the depth of my 4u shallow case was actually 12.25' as they are including the ~2in between the rear rail and rear cover in the measurement. this on its own wouldn't have been an issue if i hadn't bought other equipment sized to this misrepresented measurement, and i had already modified some of it for my purpose before realizing my mistake.. . gator, i highly recommend being more verbose about the meaning of the '14.25'' measurement and including the 'rail to rail' measurement in more places than just buried in one sidebar of the full description.",7,"the build quality of the case is excellent, and i will be keeping it and adjusting my plans to make it work for my purpose (amateur radio hf go-box) but i had assumed the depth measurement was rail-to-rail, and it is not. the depth of my 4u shallow case was actually 12.25' as they are including the ~2in between the rear rail and rear cover in the measurement. this on its own wouldn't have been an issue if i hadn't bought other equipment sized to this misrepresented measurement, and i had already modified some of it for my purpose before realizing my mistake.

gator, i highly recommend being more verbose about the meaning of the '14.25'' measurement and including the 'rail to rail' measurement in more places than just buried in one sidebar of the full description."
"first of all, i only play clean. it has a nice tone except on the low e and a strings. if i let the string ring(not mute it) the amp will distort. i experience this with all three of my electric guitars. the same guitars plugged into my fender amp, i have no issues.if i keep the volume down on the marshall, i don't get the distortion. if the amp volume is high and i turn things down using the guitar volume i get the distortion.",7.5,"first of all, i only play clean. it has a nice tone except on the low e and a strings. if i let the string ring(not mute it) the amp will distort. i experience this with all three of my electric guitars. the same guitars plugged into my fender amp, i have no issues.if i keep the volume down on the marshall, i don't get the distortion. if the amp volume is high and i turn things down using the guitar volume i get the distortion."
"these cables or the bomb.i didn't think they would be that thick. your not going to be disapointed with these cables. there going to run two 4x12 cabinets. i really like gls audio there stuff just seems exceptional. good buy monster and hello gls. thank god some company's still care about making a great product for a decent price. "" my hat's off to you gls"" thanks for caring about customers. and not just "" profit"". shipping was super fast although i have prime. would have absolutely have no problem buying these cables again. in fact i probably will.",8,these cables or the bomb.i didn't think they would be that thick. your not going to be disapointed with these cables. there going to run two 4x12 cabinets. i really like gls audio there stuff just seems exceptional. good buy monster and hello gls. thank god some company's still care about making a great product for a decent price. &#34; my hat's off to you gls&#34; thanks for caring about customers. and not just &#34; profit&#34;. shipping was super fast although i have prime. would have absolutely have no problem buying these cables again. in fact i probably will.
i wii have to see if the sound improve. but a great idea.,5,i wii have to see if the sound improve. but a great idea.
no frills but the locking mechanism and solid build makes sure your laptop won't fall flat on its back like some much more expensive laptop launchers on the market.,5,no frills but the locking mechanism and solid build makes sure your laptop won't fall flat on its back like some much more expensive laptop launchers on the market.
good quality. like the pick pocket.,7.5,good quality. like the pick pocket.
"i mounted a ibanez gio. with this. i used 2 anchors that a've already have that supports up to 50 lb. and works perfect. great looks. it suspendes by the hook without getting in touch with the wall. it's been a week now and everything works perfect. if you place it on a stud you'll be more secure that it won't fall but i mounted mine on drywall with some 50lb anchor capacity , so far it's fine and steady. very firm.",7,"i mounted a ibanez gio. with this. i used 2 anchors that a've already have that supports up to 50 lb. and works perfect. great looks. it suspendes by the hook without getting in touch with the wall. it's been a week now and everything works perfect. if you place it on a stud you'll be more secure that it won't fall but i mounted mine on drywall with some 50lb anchor capacity , so far it's fine and steady. very firm."
"we received this in december for a christmas gift. my son did not use it until recently, the item did not work correctly. i reached out to the supplier and they shipped a new one within 48 hours! best customer service ever!! new one works perfect!!",7,"we received this in december for a christmas gift. my son did not use it until recently, the item did not work correctly. i reached out to the supplier and they shipped a new one within 48 hours! best customer service ever!! new one works perfect!!"
"i've owned two fender passport 150s over the years, the rev2 and the ""pro"" model listed here. ""pro"" is in quotes deliberately, as i'd never recommend these products to a professional. perhaps for the odd traveling gig, but my first fender passport lasted me less than six months, and the second less than three years. both had an entire speaker unit (not just a tweeter) die, so i suspect it's due to shoddy qc on the electronics (likely the capacitors) on the inside of the main unit body. unfortunately for the end-user who's handy with a soldering iron, the guts aren't exactly laid out to be very serviceable, either.. . for speakers that are designed to be durable and portable, the passport succeeds only at the latter. while the external plastic is robust and built like a tank, the components that make her tick are notoriously unreliable. while the passport is a convenient little all-in-one package, do yourself a favor and get a decent pa, one that'll last you longer than 24 months.. . ...but they sound real nice for their size when they do work, if that's any consolation to you or the snake-oil salesmen at fender.",5.5,"i've owned two fender passport 150s over the years, the rev2 and the &#34;pro&#34; model listed here. &#34;pro&#34; is in quotes deliberately, as i'd never recommend these products to a professional. perhaps for the odd traveling gig, but my first fender passport lasted me less than six months, and the second less than three years. both had an entire speaker unit (not just a tweeter) die, so i suspect it's due to shoddy qc on the electronics (likely the capacitors) on the inside of the main unit body. unfortunately for the end-user who's handy with a soldering iron, the guts aren't exactly laid out to be very serviceable, either.

for speakers that are designed to be durable and portable, the passport succeeds only at the latter. while the external plastic is robust and built like a tank, the components that make her tick are notoriously unreliable. while the passport is a convenient little all-in-one package, do yourself a favor and get a decent pa, one that'll last you longer than 24 months.

...but they sound real nice for their size when they do work, if that's any consolation to you or the snake-oil salesmen at fender."
awesome midi probable the best thing i got off amazon,7,awesome midi probable the best thing i got off amazon
